from,to,time
21677,26130,"03, 02, 2009"
4376,4376,"03, 02, 2009"
2548,23230,"03, 02, 2009"
58982,58982,"03, 02, 2009"
31641,49971,"03, 02, 2009"
54617,54667,"03, 02, 2009"
55159,425282,"03, 02, 2009"
53444,39174,"03, 02, 2009"
40342,30529,"03, 02, 2009"
39693,2977,"03, 02, 2009"
18797,17521,"03, 02, 2009"
53341,49971,"03, 02, 2009"
2977,2977,"03, 02, 2009"
52443,54556,"03, 02, 2009"
39321,20048,"03, 02, 2009"
20310,20310,"03, 02, 2009"
29,29,"03, 02, 2009"
54556,54556,"03, 02, 2009"
27388,46635,"03, 02, 2009"
11432,49971,"03, 02, 2009"
31154,3208,"03, 02, 2009"
16391,29405,"03, 02, 2009"
26414,34623,"03, 02, 2009"
6297,40293,"03, 02, 2009"
2596,267,"03, 02, 2009"
58808,54556,"03, 02, 2009"
10927,10927,"03, 02, 2009"
1831,2915,"03, 02, 2009"
6309,1915,"03, 02, 2009"
23354,39709,"03, 02, 2009"
2915,2915,"03, 02, 2009"
8930,38172,"03, 02, 2009"
6309,31169,"03, 02, 2009"
292,1390354,"03, 02, 2009"
12094,6832,"03, 02, 2009"
53341,61344,"03, 02, 2009"
40410,9908,"03, 02, 2009"
8840,8840,"03, 02, 2009"
12881,2147,"03, 02, 2009"
9908,9908,"03, 02, 2009"
11522,61965,"03, 02, 2009"
146,18255,"03, 02, 2009"
23771,18192,"03, 02, 2009"
437,26624,"03, 02, 2009"
22303,42905,"03, 02, 2009"
35223,4841,"03, 02, 2009"
18255,18255,"03, 02, 2009"
16587,1100,"03, 02, 2009"
61529,61529,"04, 02, 2009"
16005,46279,"04, 02, 2009"
12601,12601,"04, 02, 2009"
38426,42905,"04, 02, 2009"
14148,29405,"04, 02, 2009"
16417,393302,"04, 02, 2009"
53491,53491,"04, 02, 2009"
42124,12597,"04, 02, 2009"
33732,37694,"04, 02, 2009"
3508,25318,"04, 02, 2009"
1337,6832,"04, 02, 2009"
55159,1715673,"04, 02, 2009"
26004,7565,"04, 02, 2009"
11356,31770,"04, 02, 2009"
393302,393302,"04, 02, 2009"
31136,1816,"04, 02, 2009"
49293,61821,"04, 02, 2009"
17516,2972,"04, 02, 2009"
58808,2972,"04, 02, 2009"
39693,5175,"04, 02, 2009"
12855,11397,"04, 02, 2009"
11397,11397,"04, 02, 2009"
5175,5175,"04, 02, 2009"
7565,7565,"04, 02, 2009"
42124,234,"04, 02, 2009"
11492,267,"04, 02, 2009"
35585,55862,"04, 02, 2009"
48553,48553,"04, 02, 2009"
3333,61976,"04, 02, 2009"
40342,5175,"04, 02, 2009"
6309,39742,"04, 02, 2009"
1185,29430,"04, 02, 2009"
61821,61821,"04, 02, 2009"
7495,60615,"04, 02, 2009"
41469,61996,"04, 02, 2009"
36590,36590,"04, 02, 2009"
53236,45405,"04, 02, 2009"
34732,34732,"04, 02, 2009"
2548,61960,"04, 02, 2009"
26983,26983,"04, 02, 2009"
39693,59947,"04, 02, 2009"
16391,34133,"04, 02, 2009"
9209,60615,"04, 02, 2009"
12870,2908,"04, 02, 2009"
34133,34133,"04, 02, 2009"
15416,34133,"04, 02, 2009"
54804,54804,"04, 02, 2009"
40581,4086,"04, 02, 2009"
47402,48943,"04, 02, 2009"
29430,29430,"04, 02, 2009"
30099,30099,"04, 02, 2009"
16391,34133,"04, 02, 2009"
16391,34133,"04, 02, 2009"
32688,62010,"04, 02, 2009"
62010,62010,"04, 02, 2009"
14749,722,"04, 02, 2009"
186,62010,"04, 02, 2009"
39709,39709,"04, 02, 2009"
13370,62010,"04, 02, 2009"
4737,16883,"04, 02, 2009"
146,18255,"04, 02, 2009"
36305,1134977,"04, 02, 2009"
16587,1100,"04, 02, 2009"
48943,48943,"04, 02, 2009"
32037,1127460,"04, 02, 2009"
8954,62010,"04, 02, 2009"
1127460,1127460,"04, 02, 2009"
20471,2274,"04, 02, 2009"
40581,2274,"04, 02, 2009"
18771,74552,"04, 02, 2009"
37055,52912,"04, 02, 2009"
40347,61856,"04, 02, 2009"
446303,62046,"04, 02, 2009"
16059,62046,"04, 02, 2009"
2258,30791,"04, 02, 2009"
1786,56329,"04, 02, 2009"
1801,62054,"04, 02, 2009"
56329,56329,"04, 02, 2009"
35166,35166,"04, 02, 2009"
62054,62054,"04, 02, 2009"
12349,8479,"04, 02, 2009"
46387,34537,"04, 02, 2009"
56793,609,"04, 02, 2009"
34509,1248,"04, 02, 2009"
22769,43655,"04, 02, 2009"
33213,8479,"04, 02, 2009"
20,21918,"04, 02, 2009"
3333,59968,"04, 02, 2009"
893,59968,"04, 02, 2009"
18518,5544,"04, 02, 2009"
21918,21918,"04, 02, 2009"
59968,59968,"04, 02, 2009"
44673,59968,"04, 02, 2009"
4249,24443,"04, 02, 2009"
18518,5544,"04, 02, 2009"
609,609,"04, 02, 2009"
59968,59968,"04, 02, 2009"
12579,60598,"04, 02, 2009"
9360,60598,"04, 02, 2009"
893,60598,"04, 02, 2009"
5696608,45664,"04, 02, 2009"
893,60598,"04, 02, 2009"
9360,60598,"04, 02, 2009"
60598,60598,"04, 02, 2009"
6782,14744,"04, 02, 2009"
12597,12597,"04, 02, 2009"
60003,14744,"04, 02, 2009"
39057,59947,"04, 02, 2009"
16587,1228,"04, 02, 2009"
12579,21918,"04, 02, 2009"
1796,1796,"04, 02, 2009"
28664,39677,"04, 02, 2009"
53341,45664,"04, 02, 2009"
62084,62084,"04, 02, 2009"
2274,2274,"04, 02, 2009"
15689,13930,"04, 02, 2009"
26160,62084,"04, 02, 2009"
1453,1676,"04, 02, 2009"
53718,62096,"04, 02, 2009"
31284,62090,"04, 02, 2009"
1139600,1742702,"04, 02, 2009"
19707,2650,"04, 02, 2009"
18071,62096,"04, 02, 2009"
1742702,1742702,"04, 02, 2009"
53718,46857,"04, 02, 2009"
36305,60835,"04, 02, 2009"
12711,2170994,"04, 02, 2009"
1676,1676,"04, 02, 2009"
12711,2170994,"04, 02, 2009"
5999,43756,"04, 02, 2009"
53718,43866,"04, 02, 2009"
1358,62096,"04, 02, 2009"
2915,43866,"04, 02, 2009"
5999,2170994,"04, 02, 2009"
2915,43866,"04, 02, 2009"
52738,21838,"04, 02, 2009"
5999,38892,"04, 02, 2009"
2170994,2170994,"04, 02, 2009"
36590,36590,"04, 02, 2009"
20,40091,"04, 02, 2009"
44330,22114,"04, 02, 2009"
1902010,41021,"04, 02, 2009"
20654,58099,"04, 02, 2009"
19707,57997,"04, 02, 2009"
7919,40667,"04, 02, 2009"
23691,58099,"04, 02, 2009"
58099,58099,"04, 02, 2009"
12458,13302,"04, 02, 2009"
20860,53114,"04, 02, 2009"
20654,58099,"04, 02, 2009"
23691,58099,"04, 02, 2009"
15639,6164,"04, 02, 2009"
37881,3661,"04, 02, 2009"
1786,3661,"04, 02, 2009"
24443,24443,"04, 02, 2009"
2170994,2170994,"04, 02, 2009"
21926,62122,"04, 02, 2009"
29053,81,"04, 02, 2009"
50394,25066,"04, 02, 2009"
3333,61652,"04, 02, 2009"
61652,61652,"04, 02, 2009"
1631,340,"04, 02, 2009"
11289,59968,"04, 02, 2009"
343,25066,"04, 02, 2009"
53114,53114,"04, 02, 2009"
11289,42229,"04, 02, 2009"
49942,9236,"04, 02, 2009"
13302,13302,"04, 02, 2009"
383,556,"04, 02, 2009"
37881,29453,"04, 02, 2009"
57997,57997,"04, 02, 2009"
42229,42229,"04, 02, 2009"
3540161,81,"04, 02, 2009"
49557,36330,"04, 02, 2009"
9922,36330,"04, 02, 2009"
59968,59968,"04, 02, 2009"
41665,17519,"04, 02, 2009"
8027,62142,"04, 02, 2009"
2764,36546,"04, 02, 2009"
29505,21981,"04, 02, 2009"
57695,57627,"04, 02, 2009"
2596,46616,"04, 02, 2009"
893,49404,"04, 02, 2009"
13990,1129162,"04, 02, 2009"
13990,1129162,"04, 02, 2009"
1358,49404,"04, 02, 2009"
23572,18103,"04, 02, 2009"
35922,54964,"04, 02, 2009"
3853,2170994,"04, 02, 2009"
61027,1129162,"04, 02, 2009"
15861,46616,"04, 02, 2009"
32129,24481,"04, 02, 2009"
7866,21981,"04, 02, 2009"
20122,21981,"04, 02, 2009"
20654,6332,"04, 02, 2009"
17516,104949,"04, 02, 2009"
29453,29453,"04, 02, 2009"
23354,39709,"04, 02, 2009"
3043,18309,"04, 02, 2009"
49293,1100,"04, 02, 2009"
50776,8479,"04, 02, 2009"
12711,2170994,"04, 02, 2009"
45719,6345,"04, 02, 2009"
43427,29505,"04, 02, 2009"
22452,22452,"04, 02, 2009"
25066,25066,"04, 02, 2009"
53599,53599,"04, 02, 2009"
7565,34571,"04, 02, 2009"
6010,30997,"04, 02, 2009"
20860,20820,"04, 02, 2009"
7856,51816,"04, 02, 2009"
9169,11356,"04, 02, 2009"
51816,51816,"04, 02, 2009"
29505,11125,"04, 02, 2009"
1796,10676,"04, 02, 2009"
11125,11125,"04, 02, 2009"
188,34537,"04, 02, 2009"
10897,34537,"04, 02, 2009"
50394,11125,"04, 02, 2009"
13675,74552,"04, 02, 2009"
5171,45651,"04, 02, 2009"
3850,24039,"04, 02, 2009"
53114,74552,"04, 02, 2009"
16587,34571,"04, 02, 2009"
16587,34571,"04, 02, 2009"
7988,74552,"04, 02, 2009"
30000,62194,"04, 02, 2009"
4958,340,"04, 02, 2009"
15154,56376,"04, 02, 2009"
10784,1807,"04, 02, 2009"
3575,16161,"04, 02, 2009"
1043,16161,"04, 02, 2009"
17360,34571,"04, 02, 2009"
34571,34571,"04, 02, 2009"
10661,34537,"04, 02, 2009"
6345,6345,"04, 02, 2009"
3850,4593,"04, 02, 2009"
4593,4593,"04, 02, 2009"
43427,26659,"04, 02, 2009"
3850,4593,"04, 02, 2009"
32536,18858,"04, 02, 2009"
3850,4593,"04, 02, 2009"
24587,25201,"04, 02, 2009"
1715673,1715673,"04, 02, 2009"
59631,56564,"04, 02, 2009"
17174,5921,"04, 02, 2009"
9530,6044,"04, 02, 2009"
5486,50312,"04, 02, 2009"
67,58957,"04, 02, 2009"
6044,6044,"04, 02, 2009"
20029,2147,"04, 02, 2009"
50312,50312,"04, 02, 2009"
50147,39428,"04, 02, 2009"
30461,26659,"04, 02, 2009"
2147,2147,"04, 02, 2009"
20029,2147,"04, 02, 2009"
2094,60738,"04, 02, 2009"
2147,2147,"04, 02, 2009"
32958,19302,"04, 02, 2009"
9642,9642,"04, 02, 2009"
24875,24875,"04, 02, 2009"
16587,34571,"04, 02, 2009"
19750,18511,"04, 02, 2009"
1358,12386,"04, 02, 2009"
61710,61710,"04, 02, 2009"
62194,62194,"04, 02, 2009"
2635,34571,"04, 02, 2009"
27012,47167,"04, 02, 2009"
17266,53659,"04, 02, 2009"
615,30576,"04, 02, 2009"
36758,36808,"04, 02, 2009"
47167,47167,"04, 02, 2009"
4977,47167,"04, 02, 2009"
54491,36758,"04, 02, 2009"
8946,26983,"04, 02, 2009"
30576,30576,"04, 02, 2009"
369,18456,"04, 02, 2009"
46072,30576,"04, 02, 2009"
36866,26349,"04, 02, 2009"
18456,18456,"04, 02, 2009"
838,47167,"04, 02, 2009"
44656,18456,"04, 02, 2009"
38317,1329401,"04, 02, 2009"
31624,1329401,"04, 02, 2009"
352728,6282,"04, 02, 2009"
1329401,1329401,"04, 02, 2009"
48048,48048,"04, 02, 2009"
11125,1329401,"04, 02, 2009"
3161,3161,"04, 02, 2009"
54491,3161,"04, 02, 2009"
42769,51659,"04, 02, 2009"
615,30576,"04, 02, 2009"
5640,47167,"04, 02, 2009"
34571,34571,"04, 02, 2009"
29482,29482,"04, 02, 2009"
5640,49971,"04, 02, 2009"
30791,30791,"04, 02, 2009"
10708,56329,"04, 02, 2009"
42019,246,"04, 02, 2009"
20029,55,"04, 02, 2009"
29426,419,"04, 02, 2009"
184,11172,"04, 02, 2009"
11172,11172,"04, 02, 2009"
20029,2147,"04, 02, 2009"
34088,14316,"04, 02, 2009"
50761,55,"04, 02, 2009"
13724,48461,"04, 02, 2009"
42136,6332,"04, 02, 2009"
11492,46223,"04, 02, 2009"
26983,26983,"04, 02, 2009"
26983,26983,"04, 02, 2009"
26983,26983,"04, 02, 2009"
22114,22114,"04, 02, 2009"
36866,40872,"04, 02, 2009"
40872,40872,"04, 02, 2009"
34623,34623,"04, 02, 2009"
36866,40872,"04, 02, 2009"
36866,40872,"04, 02, 2009"
30316,49153,"04, 02, 2009"
40655,52420,"04, 02, 2009"
16587,34088,"04, 02, 2009"
16587,52420,"04, 02, 2009"
8457,55111,"04, 02, 2009"
16076,18107,"04, 02, 2009"
36546,36546,"04, 02, 2009"
1796,37783,"04, 02, 2009"
55159,1715673,"04, 02, 2009"
7581,58978,"04, 02, 2009"
42124,39677,"04, 02, 2009"
5409,61250,"04, 02, 2009"
52912,52912,"04, 02, 2009"
1695,48211,"04, 02, 2009"
48211,48211,"04, 02, 2009"
41360,61250,"04, 02, 2009"
53850,18909,"04, 02, 2009"
18909,18909,"04, 02, 2009"
50548,3193,"04, 02, 2009"
3193,3193,"04, 02, 2009"
45651,45651,"04, 02, 2009"
16587,34088,"04, 02, 2009"
54289,23569,"04, 02, 2009"
1060,56496,"04, 02, 2009"
25163,1100,"04, 02, 2009"
184,11581,"04, 02, 2009"
184,46646,"04, 02, 2009"
10661,46646,"04, 02, 2009"
47167,47167,"04, 02, 2009"
7186,34088,"04, 02, 2009"
9567,46646,"04, 02, 2009"
184,46646,"04, 02, 2009"
3497,3497,"04, 02, 2009"
1440720,11581,"04, 02, 2009"
16587,16487,"04, 02, 2009"
271,46646,"04, 02, 2009"
3978,46646,"04, 02, 2009"
16587,16487,"04, 02, 2009"
9021,2670,"04, 02, 2009"
9567,46646,"04, 02, 2009"
1011,48943,"04, 02, 2009"
60308,62402,"04, 02, 2009"
58553,48408,"04, 02, 2009"
48408,48408,"04, 02, 2009"
20938,2759376,"04, 02, 2009"
34088,34088,"04, 02, 2009"
62391,62391,"04, 02, 2009"
2670,2670,"04, 02, 2009"
56658,62391,"04, 02, 2009"
1228,1228,"04, 02, 2009"
10661,46646,"04, 02, 2009"
61320,61320,"04, 02, 2009"
6332,6332,"04, 02, 2009"
49241,59790,"04, 02, 2009"
27628,60576,"04, 02, 2009"
46646,46646,"04, 02, 2009"
6309,30453,"04, 02, 2009"
419,419,"04, 02, 2009"
13018,3834,"04, 02, 2009"
18107,18107,"04, 02, 2009"
16076,55057,"04, 02, 2009"
57036,55057,"04, 02, 2009"
55057,55057,"04, 02, 2009"
57858,61320,"04, 02, 2009"
38883,55057,"04, 02, 2009"
59790,59790,"04, 02, 2009"
2635,46971,"04, 02, 2009"
62402,62402,"04, 02, 2009"
62402,62402,"04, 02, 2009"
44330,62434,"04, 02, 2009"
36157,52453,"04, 02, 2009"
10661,46646,"04, 02, 2009"
4958,55,"04, 02, 2009"
36157,39742,"04, 02, 2009"
3474,20400,"04, 02, 2009"
24333,9077,"05, 02, 2009"
4279,40667,"05, 02, 2009"
1358,9021,"05, 02, 2009"
49241,40981,"05, 02, 2009"
7116,40981,"05, 02, 2009"
55943,40667,"05, 02, 2009"
6461,11802,"05, 02, 2009"
40667,40667,"05, 02, 2009"
1358,54964,"05, 02, 2009"
9567,46646,"05, 02, 2009"
4725,18103,"05, 02, 2009"
60835,60835,"05, 02, 2009"
52443,54964,"05, 02, 2009"
2811,59808,"05, 02, 2009"
4012,8003,"05, 02, 2009"
11802,11802,"05, 02, 2009"
34088,54964,"05, 02, 2009"
40581,521,"05, 02, 2009"
40347,6399,"05, 02, 2009"
24587,53185,"05, 02, 2009"
4958,36330,"05, 02, 2009"
52443,60615,"05, 02, 2009"
96780,61250,"05, 02, 2009"
50394,50394,"05, 02, 2009"
16161,16161,"05, 02, 2009"
50394,50394,"05, 02, 2009"
26286,48181,"05, 02, 2009"
2764,36546,"05, 02, 2009"
26286,48181,"05, 02, 2009"
39057,521,"05, 02, 2009"
20471,44984,"05, 02, 2009"
29538,4376,"05, 02, 2009"
7565,28004,"05, 02, 2009"
6782,8003,"05, 02, 2009"
10861,40667,"05, 02, 2009"
2915,54964,"05, 02, 2009"
59808,59808,"05, 02, 2009"
52051,39677,"05, 02, 2009"
39677,39677,"05, 02, 2009"
48181,48181,"05, 02, 2009"
9567,60531,"05, 02, 2009"
36330,36330,"05, 02, 2009"
20,59350,"05, 02, 2009"
44330,54964,"05, 02, 2009"
16597,4376,"05, 02, 2009"
6388,59350,"05, 02, 2009"
21196,1816,"05, 02, 2009"
9077,9077,"05, 02, 2009"
60261,59350,"05, 02, 2009"
14440,5578,"05, 02, 2009"
20713,44637,"05, 02, 2009"
38375,52187,"05, 02, 2009"
14444,62391,"05, 02, 2009"
34509,15955,"05, 02, 2009"
5578,5578,"05, 02, 2009"
16587,13227,"05, 02, 2009"
48943,48943,"05, 02, 2009"
7714,1491425,"05, 02, 2009"
13911,61604,"05, 02, 2009"
2915,2915,"05, 02, 2009"
9128,48943,"05, 02, 2009"
30568,10897,"05, 02, 2009"
5115,5115,"05, 02, 2009"
2603,10897,"05, 02, 2009"
49246,45869,"05, 02, 2009"
38317,38317,"05, 02, 2009"
24333,7734,"05, 02, 2009"
18255,7734,"05, 02, 2009"
1831,44984,"05, 02, 2009"
184,7734,"05, 02, 2009"
30,55818,"05, 02, 2009"
24333,7734,"05, 02, 2009"
19707,44984,"05, 02, 2009"
1288,45869,"05, 02, 2009"
30568,53915,"05, 02, 2009"
9128,45942,"05, 02, 2009"
21418,11388,"05, 02, 2009"
44984,44984,"05, 02, 2009"
45942,45942,"05, 02, 2009"
7734,7734,"05, 02, 2009"
3333,5287,"05, 02, 2009"
60531,60531,"05, 02, 2009"
36805,62536,"05, 02, 2009"
1902010,61635,"05, 02, 2009"
1100,1100,"05, 02, 2009"
55745,62536,"05, 02, 2009"
49942,1632,"05, 02, 2009"
42124,4639,"05, 02, 2009"
3832,45581,"05, 02, 2009"
40342,556,"05, 02, 2009"
3458,10897,"05, 02, 2009"
419,41687,"05, 02, 2009"
6688,39036,"05, 02, 2009"
62434,62434,"05, 02, 2009"
31641,7734,"05, 02, 2009"
10223,25823,"05, 02, 2009"
58553,40516,"05, 02, 2009"
40516,40516,"05, 02, 2009"
54680,62536,"05, 02, 2009"
8954,40516,"05, 02, 2009"
4725,18103,"05, 02, 2009"
2509,19521,"05, 02, 2009"
60615,60615,"05, 02, 2009"
459737,62536,"05, 02, 2009"
40342,53897,"05, 02, 2009"
9345,61168,"05, 02, 2009"
2915,61168,"05, 02, 2009"
27083,20227,"05, 02, 2009"
1447,60531,"05, 02, 2009"
20654,62544,"05, 02, 2009"
2635,40516,"05, 02, 2009"
12881,5578,"05, 02, 2009"
149,58158,"05, 02, 2009"
50214,61635,"05, 02, 2009"
5578,5578,"05, 02, 2009"
40516,40516,"05, 02, 2009"
61523,39677,"05, 02, 2009"
4725,62571,"05, 02, 2009"
60615,60615,"05, 02, 2009"
9567,12855,"05, 02, 2009"
12855,12855,"05, 02, 2009"
13531,62571,"05, 02, 2009"
9567,31610,"05, 02, 2009"
8946,45869,"05, 02, 2009"
54650,35012,"05, 02, 2009"
11577,11577,"05, 02, 2009"
46425,46425,"05, 02, 2009"
35012,35012,"05, 02, 2009"
1471,45869,"05, 02, 2009"
31610,31610,"05, 02, 2009"
62536,62536,"05, 02, 2009"
8815,241755,"05, 02, 2009"
9567,2635,"05, 02, 2009"
5507,62571,"05, 02, 2009"
45869,45869,"05, 02, 2009"
6583,62571,"05, 02, 2009"
2635,2635,"05, 02, 2009"
2497,44856,"05, 02, 2009"
22656,60615,"05, 02, 2009"
8114,6161,"05, 02, 2009"
27414,60615,"05, 02, 2009"
7548,31529,"05, 02, 2009"
59494,44883,"05, 02, 2009"
9567,31610,"05, 02, 2009"
60615,60615,"05, 02, 2009"
61027,16940,"05, 02, 2009"
44883,44883,"05, 02, 2009"
59350,59350,"05, 02, 2009"
39461,44883,"05, 02, 2009"
1575281,26567,"05, 02, 2009"
10897,25318,"05, 02, 2009"
893,4994,"05, 02, 2009"
7583,60615,"05, 02, 2009"
23234,17715,"05, 02, 2009"
16645,33287,"05, 02, 2009"
59350,59350,"05, 02, 2009"
16725,25318,"05, 02, 2009"
44883,44883,"05, 02, 2009"
60615,60615,"05, 02, 2009"
18071,60615,"05, 02, 2009"
33287,33287,"05, 02, 2009"
2635,40516,"05, 02, 2009"
18882,62617,"05, 02, 2009"
13531,62617,"05, 02, 2009"
60615,60615,"05, 02, 2009"
21574,15537,"05, 02, 2009"
2915,16012,"05, 02, 2009"
25318,25318,"05, 02, 2009"
20029,47450,"05, 02, 2009"
19302,45585,"05, 02, 2009"
62142,62142,"05, 02, 2009"
49793,12855,"05, 02, 2009"
479,11568,"05, 02, 2009"
15537,15537,"05, 02, 2009"
12234,62623,"05, 02, 2009"
12234,27472,"05, 02, 2009"
10784,62623,"05, 02, 2009"
4279,12855,"05, 02, 2009"
18393,556,"05, 02, 2009"
4279,12855,"05, 02, 2009"
59655,7685,"05, 02, 2009"
62623,62623,"05, 02, 2009"
1053,44437,"05, 02, 2009"
52759,52759,"05, 02, 2009"
7988,33437,"05, 02, 2009"
12881,1343,"05, 02, 2009"
23234,60615,"05, 02, 2009"
3326,21734,"05, 02, 2009"
51078,62619,"05, 02, 2009"
3797,3797,"05, 02, 2009"
37881,3797,"05, 02, 2009"
37881,3797,"05, 02, 2009"
3797,3797,"05, 02, 2009"
23354,45174,"05, 02, 2009"
38087,36590,"05, 02, 2009"
1053,3797,"05, 02, 2009"
45585,45585,"05, 02, 2009"
26166,62658,"05, 02, 2009"
13491,62506,"05, 02, 2009"
56876,36590,"05, 02, 2009"
33437,33437,"05, 02, 2009"
1358,62506,"05, 02, 2009"
43427,7190,"05, 02, 2009"
36590,36590,"05, 02, 2009"
23234,1343,"05, 02, 2009"
36590,36590,"05, 02, 2009"
62658,62658,"05, 02, 2009"
1343,1343,"05, 02, 2009"
7190,7190,"05, 02, 2009"
1343,1343,"05, 02, 2009"
592,2077,"05, 02, 2009"
7190,7190,"05, 02, 2009"
36590,51649,"05, 02, 2009"
54486,1343,"05, 02, 2009"
51649,51649,"05, 02, 2009"
16942,62618,"05, 02, 2009"
16942,62618,"05, 02, 2009"
2603,62673,"05, 02, 2009"
1053,18103,"05, 02, 2009"
233,3594,"05, 02, 2009"
16076,3594,"05, 02, 2009"
3594,3594,"05, 02, 2009"
233,3594,"05, 02, 2009"
26004,62664,"05, 02, 2009"
31529,31529,"05, 02, 2009"
18471,44336,"05, 02, 2009"
5999,1158,"05, 02, 2009"
62619,62619,"05, 02, 2009"
1053,20126,"05, 02, 2009"
3957,3957,"05, 02, 2009"
39991,41718,"05, 02, 2009"
49241,20126,"05, 02, 2009"
6335,3957,"05, 02, 2009"
51078,62619,"05, 02, 2009"
8761,8761,"05, 02, 2009"
28006,13959,"05, 02, 2009"
3957,3957,"05, 02, 2009"
35070,49318,"05, 02, 2009"
9567,35886,"05, 02, 2009"
35886,35886,"05, 02, 2009"
3966,12048,"05, 02, 2009"
16942,35886,"05, 02, 2009"
16204,1144,"05, 02, 2009"
35886,34088,"05, 02, 2009"
21981,18434,"05, 02, 2009"
16942,35886,"05, 02, 2009"
9567,35886,"05, 02, 2009"
20938,3957,"05, 02, 2009"
16942,35886,"05, 02, 2009"
35886,35886,"05, 02, 2009"
9567,35886,"05, 02, 2009"
35886,35886,"05, 02, 2009"
20938,3957,"05, 02, 2009"
3850,51816,"05, 02, 2009"
55,55,"05, 02, 2009"
3909,35886,"05, 02, 2009"
27472,27472,"05, 02, 2009"
9354,9354,"05, 02, 2009"
67,37494,"05, 02, 2009"
56793,1551,"05, 02, 2009"
62618,62618,"05, 02, 2009"
1551,1551,"05, 02, 2009"
28835,5441,"05, 02, 2009"
28006,47610,"05, 02, 2009"
42303,50419,"05, 02, 2009"
16587,61780,"05, 02, 2009"
50419,50419,"05, 02, 2009"
47610,47610,"05, 02, 2009"
21734,21734,"05, 02, 2009"
22545,255,"05, 02, 2009"
14860,29043,"05, 02, 2009"
1551,19948,"05, 02, 2009"
12716,19948,"05, 02, 2009"
12716,19948,"05, 02, 2009"
17174,19948,"05, 02, 2009"
50394,24424,"05, 02, 2009"
48988,11194,"05, 02, 2009"
61780,61780,"05, 02, 2009"
49701,28035,"05, 02, 2009"
19948,19948,"05, 02, 2009"
19948,19948,"05, 02, 2009"
2635,62720,"05, 02, 2009"
17174,19948,"05, 02, 2009"
14860,28035,"05, 02, 2009"
14860,28035,"05, 02, 2009"
18103,62720,"05, 02, 2009"
28035,28035,"05, 02, 2009"
28035,28035,"05, 02, 2009"
24424,24424,"05, 02, 2009"
14860,28035,"05, 02, 2009"
14860,28035,"05, 02, 2009"
1786,2572,"05, 02, 2009"
57423,24457,"05, 02, 2009"
8457,59947,"05, 02, 2009"
8457,62740,"05, 02, 2009"
15124,59947,"05, 02, 2009"
42559,62740,"05, 02, 2009"
16940,16940,"05, 02, 2009"
16940,1,"05, 02, 2009"
16942,2849,"05, 02, 2009"
59947,59947,"05, 02, 2009"
14860,49781,"05, 02, 2009"
26983,50419,"05, 02, 2009"
14860,49781,"05, 02, 2009"
30568,24293,"05, 02, 2009"
49781,49781,"05, 02, 2009"
14860,49781,"05, 02, 2009"
18528,61793,"05, 02, 2009"
16045,3153,"05, 02, 2009"
2635,59947,"05, 02, 2009"
54486,61793,"05, 02, 2009"
486,59947,"05, 02, 2009"
2811,59808,"05, 02, 2009"
18103,62720,"05, 02, 2009"
36305,38124,"05, 02, 2009"
39742,24545,"05, 02, 2009"
53718,5232,"05, 02, 2009"
22656,3153,"05, 02, 2009"
6044,56076,"05, 02, 2009"
5023,54540,"05, 02, 2009"
36305,43004,"05, 02, 2009"
26567,26567,"05, 02, 2009"
58553,47630,"05, 02, 2009"
47630,47630,"05, 02, 2009"
23354,47630,"05, 02, 2009"
47630,47630,"05, 02, 2009"
2635,36832,"05, 02, 2009"
47630,47630,"05, 02, 2009"
23354,47630,"05, 02, 2009"
23354,47630,"05, 02, 2009"
23354,47630,"05, 02, 2009"
59631,31516,"05, 02, 2009"
26983,35364,"05, 02, 2009"
1242,24293,"05, 02, 2009"
47630,47630,"05, 02, 2009"
40744,5302,"05, 02, 2009"
2122,2122,"05, 02, 2009"
40581,24457,"05, 02, 2009"
14537,54540,"05, 02, 2009"
15622,42793,"05, 02, 2009"
59568,54540,"05, 02, 2009"
15622,39615,"05, 02, 2009"
11568,11568,"05, 02, 2009"
34088,34088,"05, 02, 2009"
24457,24457,"05, 02, 2009"
2635,23368,"05, 02, 2009"
13227,13227,"05, 02, 2009"
42793,42793,"05, 02, 2009"
31945,51181,"05, 02, 2009"
51181,51181,"05, 02, 2009"
1575281,35364,"05, 02, 2009"
1575281,39615,"05, 02, 2009"
6782,38172,"05, 02, 2009"
11522,14118,"05, 02, 2009"
23368,23368,"05, 02, 2009"
2635,23368,"05, 02, 2009"
41360,15124,"05, 02, 2009"
15124,15124,"05, 02, 2009"
42136,39615,"05, 02, 2009"
1898,15955,"05, 02, 2009"
9195,3609,"05, 02, 2009"
50003,38172,"05, 02, 2009"
39615,39615,"05, 02, 2009"
2635,23368,"05, 02, 2009"
1060,3153,"05, 02, 2009"
3609,3609,"05, 02, 2009"
4639,4639,"05, 02, 2009"
14118,14118,"05, 02, 2009"
47311,23339,"05, 02, 2009"
4050,54540,"05, 02, 2009"
38883,18107,"05, 02, 2009"
3320,28004,"05, 02, 2009"
60188,28004,"05, 02, 2009"
41283,3609,"05, 02, 2009"
23339,23339,"05, 02, 2009"
30366,4964,"05, 02, 2009"
5363,29430,"05, 02, 2009"
4964,4964,"05, 02, 2009"
445,39590,"05, 02, 2009"
445,39590,"05, 02, 2009"
30366,4964,"05, 02, 2009"
20933,62830,"05, 02, 2009"
39590,39590,"05, 02, 2009"
